quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00078 momentum=0.00036 one_tick=-0.00032
quant-1  | ORDERS: [{'symbol': 'GUA/USDT', 'side': 'buy', 'quantity': 1.3550066461134, 'expected_price': 0.9224, 'fill_price': 0.9224, 'confidence': 0.95, 'strategy': 'evo_allocator_rescue', 'signal_strength': 0.013677673055842554, 'feature': {'ready': True, 'source': 'NORMAL', 'trend': 0.005380868254845739, 'long_trend': 0.0, 'volatility': 0.003078272366730763, 'momentum': 0.008296804800996815, 'one_tick_momentum': 0.0, 'signal_strength': 0.013677673055842554, 'price': 0.9224, 'symbol_regime': 'SYMBOL_BREAKOUT_UP', 'symbol_trend_score': 0.012847992575742873, 'breakout_score': 0.012078424484060182, 'trend_quality': 0.012847992575742873, 'is_symbol_uptrend': True, 'is_symbol_downtrend': False, 'is_choppy': False}, 'source': 'allocator_opportunity_rescue', 'qfos_allocator_rescue_score': 0.06809616078915735, 'slippage_bps': 0, 'shadow_mode': False, 'live': False}]
quant-1  | [EXPECTANCY_PATCH] before=1 after=1 exits=0
quant-1  | [EXPECTANCY_PATCH] before=1 after=1 exits=0
quant-1  | [EXECUTION_STAGE] handoff raw_orders=1 proposed_fills=1 symbols=['GUA/USDT']
quant-1  | [PROFIT_ENGINE_GUARD] ENTRY_BLOCKED regime=SIDEWAYS exposure_pct=0.0649 limit=0.0450 blocked=['GUA/USDT']
quant-1  | [PROFIT_ENGINE_GUARD] execution_filter before=1 after=0
quant-1  | [EXECUTION_STAGE] begin_apply proposed_fills=0
quant-1  | [EXECUTION_STAGE] final_applied_fills=0
quant-1  | {'regime': 'SIDEWAYS', 'equity': 99.98, 'cash': 93.5, 'exposure': 6.49, 'exposure_pct': 0.0649, 'positions': {'BEAT/USDT': 1.44058, 'TRIA/USDT': 39.872408, 'CAKE/USDT': 1.001611, 'ULTIMA/USDT': 0.000856}, 'orders': 0, 'rejected': [], 'status': 'ok', 'paused': False, 'risk_status': 'SAFE', 'shadow_positions': {}}
quant-1  | 
quant-1  | ========================================================================
quant-1  | QUANT FUND OS ├óΓé¼ΓÇ¥ CYCLE DIAGNOSTIC
quant-1  | Time: 2026-06-04T07:04:39.894015Z
quant-1  | Market symbols: 59
quant-1  | Feature symbols: 59
quant-1  | Orders/applied fills: 0
quant-1  | Empty feature cycles: 0
quant-1  | No-trade reason: features_exist_but_no_orders
quant-1  | Note: main_loop_after_execution
quant-1  | Top features/signals:
quant-1  |   UBOX/USDT | source=NORMAL direction=None strength=0.0179 momentum=0.0
quant-1  |   SENS/USDT | source=NORMAL direction=None strength=0.0164 momentum=0.0
quant-1  |   GUA/USDT | source=NORMAL direction=None strength=0.0137 momentum=0.0083
quant-1  |   GENIUS/USDT | source=NORMAL direction=None strength=0.003 momentum=0.00098
quant-1  |   BOB/USDT | source=NORMAL direction=None strength=0.002 momentum=0.00203
quant-1  | ========================================================================
quant-1  | 
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=BEAT/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=BEAT/USDT qty=1.440579689266961 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=BEAT/USDT open_qty=1.440579689266961 latest_sell_qty=1.440579689266961 latest_id=1 source=auto_phase2h_reconciler
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=TRIA/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=TRIA/USDT qty=39.87240829346092 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=TRIA/USDT open_qty=39.87240829346092 latest_sell_qty=39.87240829346092 latest_id=3 source=auto_phase2h_reconciler
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=CAKE/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=CAKE/USDT qty=1.0016108270000519 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=CAKE/USDT open_qty=1.0016108270000519 latest_sell_qty=1.0016108270000519 latest_id=2 source=auto_phase2h_reconciler
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=ULTIMA/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=ULTIMA/USDT qty=0.0008558071481247619 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=ULTIMA/USDT open_qty=0.0008558071481247619 latest_sell_qty=0.0008558071481247619 latest_id=4 source=auto_phase2h_reconciler
quant-1  | [QFOS_AUTO_STALE_RECONCILER] reconciled=BEAT/USDT,TRIA/USDT,CAKE/USDT,ULTIMA/USDT source=auto_phase2h_reconciler
quant-1  | [PORTFOLIO_RECONCILER] synced equity=99.9887 cash=99.9887 exposure=0.0000 realized=-0.0113 unrealized=0.0000 drawdown=-0.0113% regime=SIDEWAYS
quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.67e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 63882.99, 'ETH/USDT': 1782.74, 'SOL/USDT': 70.07, 'USDC/USDT': 1.0006, 'XRP/USDT': 1.1848, 'DOGE/USDT': 0.08941, 'BNB/USDT': 603.94, 'TRIA/USDT': 0.03139, 'TRX/USDT': 0.3321, 'BSB/USDT': 0.23232, 'ADA/USDT': 0.1968, 'USD1/USDT': 0.99966, 'INJ/USDT': 6.238, 'SUI/USDT': 0.7964, 'LTC/USDT': 46.47, 'HYPE/USDT': 69.47, 'BCH/USDT': 243.4, 'ZEC/USDT': 574.39, 'GOLD(PAXG)/USDT': 4463.96, 'FIL/USDT': 0.866, 'TAO/USDT': 218.85, 'DOT/USDT': 1.059, 'TON/USDT': 1.771, 'TRUMP/USDT': 1.838, 'BILL/USDT': 0.0848, 'NEAR/USDT': 2.4363, 'BEAT/USDT': 1.38511, 'ULTIMA/USDT': 2331.3, 'MX/USDT': 1.7519, 'GUA/USDT': 0.9224, 'ONDO/USDT': 0.38467, 'ASTER/USDT': 0.6605, 'EDEN/USDT': 0.04485, 'EUR/USDT': 1.1615, 'ETHFI/USDT': 0.3358, 'GENIUS/USDT': 0.47056, 'RAIN/USDT': 0.0140307, 'XMR/USDT': 356.79, 'UBOX/USDT': 0.0024, 'LINK/USDT': 8.151, 'DASH/USDT': 35.76, 'SHIB/USDT': 5.038e-06, 'PLAY/USDT': 0.10058, 'AVAX/USDT': 7.891, 'PENGU/USDT': 0.006849, 'WXT/USDT': 0.016425, 'ATOM/USDT': 1.812, 'IN/USDT': 0.10081, 'TTN/USDT': 0.05037, 'ATLA/USDT': 182.5656, 'PENDLE/USDT': 1.33, 'AIXDROP/USDT': 0.00022083, 'SENS/USDT': 0.00565, 'TIA/USDT': 0.3483, 'BDX/USDT': 0.07872, '9BIT/USDT': 0.046907, 'JGGL/USDT': 1.9172, 'CAKE/USDT': 1.243, 'BOB/USDT': 0.006417}
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 63882.99, 'ETH/USDT': 1782.74, 'SOL/USDT': 70.07, 'USDC/USDT': 1.0006, 'XRP/USDT': 1.1848, 'DOGE/USDT': 0.08941, 'BNB/USDT': 603.94, 'TRIA/USDT': 0.03139, 'TRX/USDT': 0.3321, 'BSB/USDT': 0.23232, 'ADA/USDT': 0.1968, 'USD1/USDT': 0.99966, 'INJ/USDT': 6.238, 'SUI/USDT': 0.7964, 'LTC/USDT': 46.47, 'HYPE/USDT': 69.47, 'BCH/USDT': 243.4, 'ZEC/USDT': 574.39, 'GOLD(PAXG)/USDT': 4463.96, 'FIL/USDT': 0.866, 'TAO/USDT': 218.85, 'DOT/USDT': 1.059, 'TON/USDT': 1.771, 'TRUMP/USDT': 1.838, 'BILL/USDT': 0.0848, 'NEAR/USDT': 2.4363, 'BEAT/USDT': 1.38511, 'ULTIMA/USDT': 2331.3, 'MX/USDT': 1.7519, 'GUA/USDT': 0.9224, 'ONDO/USDT': 0.38467, 'ASTER/USDT': 0.6605, 'EDEN/USDT': 0.04485, 'EUR/USDT': 1.1615, 'ETHFI/USDT': 0.3358, 'GENIUS/USDT': 0.47056, 'RAIN/USDT': 0.0140307, 'XMR/USDT': 356.79, 'UBOX/USDT': 0.0024, 'LINK/USDT': 8.151, 'DASH/USDT': 35.76, 'SHIB/USDT': 5.038e-06, 'PLAY/USDT': 0.10058, 'AVAX/USDT': 7.891, 'PENGU/USDT': 0.006849, 'WXT/USDT': 0.016425, 'ATOM/USDT': 1.812, 'IN/USDT': 0.10081, 'TTN/USDT': 0.05037, 'ATLA/USDT': 182.5656, 'PENDLE/USDT': 1.33, 'AIXDROP/USDT': 0.00022083, 'SENS/USDT': 0.00565, 'TIA/USDT': 0.3483, 'BDX/USDT': 0.07872, '9BIT/USDT': 0.046907, 'JGGL/USDT': 1.9172, 'CAKE/USDT': 1.243, 'BOB/USDT': 0.006417}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.5962, 'top_matches': 1, 'top_strategy': 'evo_1492'}
quant-1  | ALLOCATOR BEST: strategy=evo_1492 score=0.5962 matches=1 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=0.01658 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=0.01509 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=0.00667 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00207 momentum=0.00098 one_tick=0.00000 signal=0.00305
quant-1  | ALLOCATOR SKIP BOB/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00007 momentum=0.00203 one_tick=0.00000 signal=0.00210
quant-1  | ALLOCATOR SKIP BEAT/USDT: cooldown
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=0.00075 momentum=-0.00095 one_tick=-0.00063
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=False trend=0.00026 momentum=0.00045 one_tick=-0.00001 signal=0.00071
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00012 momentum=0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=0.00014 momentum=-0.00123 one_tick=-0.00041
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.01675 momentum=0.00010 one_tick=0.00089
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00000 momentum=0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00006 momentum=-0.00006 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00003 momentum=-0.00030 one_tick=-0.00060
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00001 momentum=-0.00114 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00001 momentum=-0.00012 one_tick=-0.00008
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00097 momentum=-0.00159 one_tick=-0.00062
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00145 momentum=-0.00281 one_tick=-0.00162
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00192 momentum=-0.00242 one_tick=-0.00100
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00170 momentum=-0.00202 one_tick=-0.00084
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00188 momentum=-0.00223 one_tick=-0.00123
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00101 momentum=-0.00182 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00109 momentum=-0.00030 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00190 momentum=-0.00354 one_tick=-0.00203
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00174 momentum=-0.00048 one_tick=0.00096
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00150 momentum=-0.00350 one_tick=-0.00188
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00101 momentum=-0.00193 one_tick=-0.00150
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=-0.00304 momentum=-0.00158 one_tick=0.00245
quant-1  | ALLOCATOR SKIP ZEC/USDT: strict_filter trend=-0.01031 momentum=-0.00186 one_tick=-0.00078
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00345 momentum=-0.00334 one_tick=-0.00322
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00335 momentum=-0.00464 one_tick=-0.00260
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00193 momentum=-0.00282 one_tick=-0.00189
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00247 momentum=-0.00225 one_tick=-0.00169
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00133 momentum=-0.00271 one_tick=-0.00163
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00375 momentum=0.00000 one_tick=0.00000
quant-1  | INFO:     172.18.0.1:51958 - "GET /status HTTP/1.1" 200 OK
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00106 momentum=-0.01448 one_tick=-0.01372
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=-0.00446 momentum=-0.00419 one_tick=0.00003
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00256 momentum=-0.00242 one_tick=-0.00196
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00139 momentum=-0.00178 one_tick=-0.00156
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00439 momentum=-0.00504 one_tick=-0.00327
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00059 momentum=-0.00127 one_tick=-0.00069
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00029 momentum=-0.00146 one_tick=-0.00120
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00196 momentum=-0.00123 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00295 momentum=-0.00307 one_tick=-0.00307
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00099 momentum=-0.00139 one_tick=-0.00119
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00437 momentum=-0.00010 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00220 momentum=-0.00316 one_tick=-0.00114
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00153 momentum=-0.00306 one_tick=-0.00306
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00108 momentum=-0.00103 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00080 momentum=-0.00165 one_tick=-0.00055
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00246 momentum=-0.00331 one_tick=0.00029
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00477 momentum=-0.00524 one_tick=-0.00375
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00320 momentum=-0.00457 one_tick=-0.00229
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00004 momentum=-0.00017 one_tick=0.00000
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00139 momentum=-0.00255 one_tick=-0.00161
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] selected symbol=GENIUS/USDT strategy=evo_allocator_rescue score=0.014528 signal=0.003050 breakout=0.002662 trend=0.002071 momentum=0.000979 one_tick=0.000000 value=1.2499 confidence=0.834
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
