quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00079 momentum=0.00000 one_tick=0.00000
quant-1  | ORDERS: [{'symbol': 'HYPE/USDT', 'side': 'buy', 'quantity': 0.017851024250107126, 'expected_price': 70.01, 'fill_price': 70.01, 'confidence': 0.95, 'strategy': 'evo_allocator_rescue', 'signal_strength': 0.0058847786232445465, 'feature': {'ready': True, 'source': 'NORMAL', 'trend': 0.0038810574267367226, 'long_trend': -1.9129923264915583e-05, 'volatility': 0.0012004818555102997, 'momentum': 0.002003721196507824, 'one_tick_momentum': 0.0007146941109206217, 'signal_strength': 0.0058847786232445465, 'price': 70.01, 'symbol_regime': 'SYMBOL_TREND_UP', 'symbol_trend_score': 0.00586308003132392, 'breakout_score': 0.005562959567446344, 'trend_quality': 0.00586308003132392, 'is_symbol_uptrend': True, 'is_symbol_downtrend': False, 'is_choppy': False}, 'source': 'allocator_opportunity_rescue', 'qfos_allocator_rescue_score': 0.029573319687885267, 'slippage_bps': 0, 'shadow_mode': False, 'live': False}]
quant-1  | [EXPECTANCY_PATCH] before=1 after=1 exits=0
quant-1  | [EXPECTANCY_PATCH] before=1 after=1 exits=0
quant-1  | [EXECUTION_STAGE] handoff raw_orders=1 proposed_fills=1 symbols=['HYPE/USDT']
quant-1  | [PROFIT_ENGINE_GUARD] ENTRY_BLOCKED regime=SIDEWAYS exposure_pct=0.0648 limit=0.0450 blocked=['HYPE/USDT']
quant-1  | [PROFIT_ENGINE_GUARD] execution_filter before=1 after=0
quant-1  | [EXECUTION_STAGE] begin_apply proposed_fills=0
quant-1  | [EXECUTION_STAGE] final_applied_fills=0
quant-1  | {'regime': 'SIDEWAYS', 'equity': 99.99, 'cash': 93.52, 'exposure': 6.47, 'exposure_pct': 0.0647, 'positions': {'TRIA/USDT': 39.872408, 'CAKE/USDT': 1.001611, 'ULTIMA/USDT': 0.000856, 'ZEC/USDT': 0.003399}, 'orders': 0, 'rejected': [{'symbol': 'HYPE/USDT', 'reason': 'entry_quality_not_top_10'}], 'status': 'ok', 'paused': False, 'risk_status': 'SAFE', 'shadow_positions': {}}
quant-1  | 
quant-1  | ========================================================================
quant-1  | QUANT FUND OS ├óΓé¼ΓÇ¥ CYCLE DIAGNOSTIC
quant-1  | Time: 2026-06-04T07:11:34.730385Z
quant-1  | Market symbols: 59
quant-1  | Feature symbols: 59
quant-1  | Orders/applied fills: 0
quant-1  | Empty feature cycles: 0
quant-1  | No-trade reason: features_exist_but_no_orders
quant-1  | Note: main_loop_after_execution
quant-1  | Top features/signals:
quant-1  |   UBOX/USDT | source=NORMAL direction=None strength=0.0615 momentum=0.02456
quant-1  |   GUA/USDT | source=NORMAL direction=None strength=0.0178 momentum=0.0
quant-1  |   SENS/USDT | source=NORMAL direction=None strength=0.0097 momentum=0.0
quant-1  |   BEAT/USDT | source=NORMAL direction=None strength=0.008 momentum=-0.0058
quant-1  |   ZEC/USDT | source=NORMAL direction=None strength=0.0073 momentum=-0.00396
quant-1  | Rejected sample: [{'symbol': 'HYPE/USDT', 'reason': 'entry_quality_not_top_10'}]
quant-1  | ========================================================================
quant-1  | 
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=TRIA/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=TRIA/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=CAKE/USDT reason=default_sideways signal=0.000362 breakout=0.000146 trend_quality=0.000000 momentum=-0.000804 one_tick=-0.001606 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=CAKE/USDT reason=default_sideways signal=0.000362 breakout=0.000146 trend_quality=0.000000 momentum=-0.000804 one_tick=-0.001606 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ULTIMA/USDT reason=default_sideways signal=0.000156 breakout=0.000034 trend_quality=0.000000 momentum=-0.000081 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ULTIMA/USDT reason=default_sideways signal=0.000156 breakout=0.000034 trend_quality=0.000000 momentum=-0.000081 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ZEC/USDT reason=default_sideways signal=0.007264 breakout=0.006598 trend_quality=0.000000 momentum=-0.003963 one_tick=-0.001062 regime=SYMBOL_NEUTRAL
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ZEC/USDT reason=default_sideways signal=0.007264 breakout=0.006598 trend_quality=0.000000 momentum=-0.003963 one_tick=-0.001062 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE_GUARD] WATCHDOG action=CLOSE_WEAKEST regime=SIDEWAYS exposure_pct=0.0647 symbol=ZEC/USDT reason=sideways_hard_exposure_guard class=SIDEWAYS_SCALP effective=SIDEWAYS_SCALP ret_pct=-0.005391 unrealized=-0.010741
quant-1  | [PE_SELL_SOURCE_GUARD_ERROR] symbol=unknown error=NameError("name 'conn' is not defined")
quant-1  | [PROFIT_ENGINE] selling symbol=ZEC/USDT reason=sideways_hard_exposure_guard qty=0.00339914 mark=583.05000000 pnl=-0.010741
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=ZEC/USDT reason=tombstone_rezero_stale_restored_position source=profit_engine cleared=none
quant-1  | [SELL_TOMBSTONE_RECONCILED_STALE_POSITION] symbol=ZEC/USDT existing_qty=0.00339913680731437 requested_qty=0.00339913680731437 strategy=sideways_hard_exposure_guard source=profit_engine
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=TRIA/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=TRIA/USDT qty=39.87240829346092 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=TRIA/USDT open_qty=39.87240829346092 latest_sell_qty=39.87240829346092 latest_id=3 source=auto_phase2h_reconciler
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=CAKE/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=CAKE/USDT qty=1.0016108270000519 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=CAKE/USDT open_qty=1.0016108270000519 latest_sell_qty=1.0016108270000519 latest_id=2 source=auto_phase2h_reconciler
quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=ULTIMA/USDT reason=db_stale_closed_position_reconciled source=auto_phase2h_reconciler cleared=none
quant-1  | [QFOS_SYMBOL_CLOSED_TOMBSTONE_SET] symbol=ULTIMA/USDT qty=0.0008558071481247619 strategy=sideways_hard_exposure_guard source=auto_phase2h_reconciler
quant-1  | [QFOS_DB_STALE_POSITION_RECONCILED] symbol=ULTIMA/USDT open_qty=0.0008558071481247619 latest_sell_qty=0.0008558071481247619 latest_id=4 source=auto_phase2h_reconciler
quant-1  | [QFOS_AUTO_STALE_RECONCILER] reconciled=TRIA/USDT,CAKE/USDT,ULTIMA/USDT source=auto_phase2h_reconciler
quant-1  | [PORTFOLIO_RECONCILER] synced equity=99.9800 cash=99.9800 exposure=0.0000 realized=-0.0200 unrealized=0.0000 drawdown=-0.0200% regime=SIDEWAYS
quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.67e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 63818.18, 'ETH/USDT': 1780.19, 'SOL/USDT': 69.98, 'USDC/USDT': 1.0006, 'XRP/USDT': 1.1813, 'DOGE/USDT': 0.08948, 'BNB/USDT': 602.54, 'TRIA/USDT': 0.03131, 'TRX/USDT': 0.332, 'BSB/USDT': 0.23082, 'ADA/USDT': 0.1966, 'USD1/USDT': 0.99968, 'INJ/USDT': 6.235, 'SUI/USDT': 0.7946, 'LTC/USDT': 46.45, 'HYPE/USDT': 69.9, 'BCH/USDT': 243.7, 'ZEC/USDT': 582.98, 'GOLD(PAXG)/USDT': 4459.61, 'FIL/USDT': 0.8643, 'TAO/USDT': 218.75, 'DOT/USDT': 1.057, 'TON/USDT': 1.773, 'TRUMP/USDT': 1.838, 'BILL/USDT': 0.0849, 'NEAR/USDT': 2.44, 'BEAT/USDT': 1.39251, 'ULTIMA/USDT': 2332.97, 'MX/USDT': 1.7519, 'GUA/USDT': 0.98156, 'ONDO/USDT': 0.38498, 'ASTER/USDT': 0.6613, 'EDEN/USDT': 0.04529, 'EUR/USDT': 1.1615, 'ETHFI/USDT': 0.3352, 'GENIUS/USDT': 0.46967, 'RAIN/USDT': 0.0140051, 'XMR/USDT': 357.43, 'UBOX/USDT': 0.002398, 'LINK/USDT': 8.127, 'DASH/USDT': 35.76, 'SHIB/USDT': 5.032e-06, 'PLAY/USDT': 0.09973, 'AVAX/USDT': 7.873, 'PENGU/USDT': 0.006837, 'WXT/USDT': 0.016397, 'ATOM/USDT': 1.806, 'IN/USDT': 0.10168, 'TTN/USDT': 0.05025, 'ATLA/USDT': 183.7494, 'PENDLE/USDT': 1.34, 'AIXDROP/USDT': 0.00022096, 'SENS/USDT': 0.00574, 'TIA/USDT': 0.3476, 'BDX/USDT': 0.07873, '9BIT/USDT': 0.046892, 'JGGL/USDT': 1.915, 'CAKE/USDT': 1.242, 'BOB/USDT': 0.006385}
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 63818.18, 'ETH/USDT': 1780.19, 'SOL/USDT': 69.98, 'USDC/USDT': 1.0006, 'XRP/USDT': 1.1813, 'DOGE/USDT': 0.08948, 'BNB/USDT': 602.54, 'TRIA/USDT': 0.03131, 'TRX/USDT': 0.332, 'BSB/USDT': 0.23082, 'ADA/USDT': 0.1966, 'USD1/USDT': 0.99968, 'INJ/USDT': 6.235, 'SUI/USDT': 0.7946, 'LTC/USDT': 46.45, 'HYPE/USDT': 69.9, 'BCH/USDT': 243.7, 'ZEC/USDT': 582.98, 'GOLD(PAXG)/USDT': 4459.61, 'FIL/USDT': 0.8643, 'TAO/USDT': 218.75, 'DOT/USDT': 1.057, 'TON/USDT': 1.773, 'TRUMP/USDT': 1.838, 'BILL/USDT': 0.0849, 'NEAR/USDT': 2.44, 'BEAT/USDT': 1.39251, 'ULTIMA/USDT': 2332.97, 'MX/USDT': 1.7519, 'GUA/USDT': 0.98156, 'ONDO/USDT': 0.38498, 'ASTER/USDT': 0.6613, 'EDEN/USDT': 0.04529, 'EUR/USDT': 1.1615, 'ETHFI/USDT': 0.3352, 'GENIUS/USDT': 0.46967, 'RAIN/USDT': 0.0140051, 'XMR/USDT': 357.43, 'UBOX/USDT': 0.002398, 'LINK/USDT': 8.127, 'DASH/USDT': 35.76, 'SHIB/USDT': 5.032e-06, 'PLAY/USDT': 0.09973, 'AVAX/USDT': 7.873, 'PENGU/USDT': 0.006837, 'WXT/USDT': 0.016397, 'ATOM/USDT': 1.806, 'IN/USDT': 0.10168, 'TTN/USDT': 0.05025, 'ATLA/USDT': 183.7494, 'PENDLE/USDT': 1.34, 'AIXDROP/USDT': 0.00022096, 'SENS/USDT': 0.00574, 'TIA/USDT': 0.3476, 'BDX/USDT': 0.07873, '9BIT/USDT': 0.046892, 'JGGL/USDT': 1.915, 'CAKE/USDT': 1.242, 'BOB/USDT': 0.006385}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.9, 'top_matches': 1, 'top_strategy': 'evo_1492'}
quant-1  | ALLOCATOR BEST: strategy=evo_1492 score=0.9000 matches=1 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=0.02824 momentum=-0.01842 one_tick=-0.04195
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BEAT/USDT: cooldown
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=0.00328 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP HYPE/USDT: strict_filter trend=0.00319 momentum=-0.00086 one_tick=-0.00157
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=0.00302 momentum=-0.00372 one_tick=-0.00223
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=0.00292 momentum=-0.00072 one_tick=-0.00158
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=0.00254 momentum=-0.00157 one_tick=-0.00108
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=0.00232 momentum=-0.00288 one_tick=-0.00080
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=0.00209 momentum=-0.00056 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BSB/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=False one_tick_ok=False trend=0.00032 momentum=0.00165 one_tick=-0.00078 signal=0.00197
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=0.00175 momentum=-0.00195 one_tick=-0.00195
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=0.00137 momentum=-0.00193 one_tick=-0.00147
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=0.00159 momentum=-0.00202 one_tick=-0.00202
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=0.00151 momentum=-0.00008 one_tick=0.00003
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=0.00142 momentum=-0.00163 one_tick=-0.00054
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=0.00135 momentum=-0.00196 one_tick=0.00069
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=0.00135 momentum=-0.00131 one_tick=-0.00131
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=0.00128 momentum=-0.00019 one_tick=-0.00020
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=0.00092 momentum=-0.00123 one_tick=0.00041
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00020 momentum=0.00118 one_tick=0.00113
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=0.00114 momentum=-0.00251 one_tick=-0.00013
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=0.00109 momentum=-0.00095 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=0.00108 momentum=-0.00287 one_tick=-0.00178
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=0.00098 momentum=-0.00166 one_tick=0.00061
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00093 momentum=-0.00060 one_tick=0.00030
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=0.00069 momentum=-0.00045 one_tick=0.00056
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=0.00067 momentum=-0.00146 one_tick=-0.00115
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=0.00053 momentum=-0.00114 one_tick=-0.00114
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=0.00048 momentum=0.00000 one_tick=0.00062
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=0.00048 momentum=-0.00185 one_tick=-0.00061
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=0.00042 momentum=-0.00119 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00199 momentum=-0.00153 one_tick=-0.00118
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=0.00038 momentum=-0.00071 one_tick=0.00043
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=0.00036 momentum=-0.00086 one_tick=-0.00022
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=0.00036 momentum=-0.00093 one_tick=0.00005
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=0.00034 momentum=-0.00067 one_tick=-0.00067
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=0.00028 momentum=-0.00165 one_tick=-0.00033
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=0.00020 momentum=-0.00041 one_tick=-0.00017
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00022 momentum=0.00017 one_tick=0.00000
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=0.00008 momentum=-0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00003 momentum=0.00000 one_tick=0.00006
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=0.00003 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00002 momentum=-0.00030 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00001 momentum=-0.00144 one_tick=-0.00017
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00003 momentum=-0.00203 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00103 momentum=-0.00420 one_tick=-0.00164
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00100 momentum=-0.00070 one_tick=-0.00070
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00019 momentum=-0.00111 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00003 momentum=-0.00287 one_tick=-0.00029
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00002 momentum=-0.00013 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00027 momentum=-0.00125 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-1: GUA/USDT(qs=0.1286,sig=0.0430)
quant-1  | ENTRY QUALITY TOP 10: [('GUA/USDT', 0.128557, 0.04295897648999003)]
